h,h_years,beta_price,se_price,p_price,gamma_vintage,se_vintage,p_vintage,ci95_beta_lo,ci95_beta_hi,ci95_gamma_lo,ci95_gamma_hi,n_obs,n_clusters,r2_within
0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,30000,500,
1,0.25,0.0,0.0,,-0.4040695458014678,0.21904568021412824,0.06567631650028032,0.0,0.0,-0.8333990790211592,0.025259987418223495,29500,500,0.00011901192022900631
2,0.5,0.0,0.0,,-0.22719552555447334,0.2428071366572832,0.34987838854716957,0.0,0.0,-0.7030975134027484,0.24870646229380175,29000,500,4.191882523840729e-05
3,0.75,0.0,0.0,,-0.158681716177669,0.2826243389878941,0.574737366559868,0.0,0.0,-0.7126254205939414,0.39526198823860337,28500,500,2.040063974273476e-05
4,1.0,0.0,0.0,,-0.15379980191750287,0.31755347675077517,0.6283661432638812,0.0,0.0,-0.7762046163490222,0.46860501251401643,28000,500,2.0255787054557217e-05
5,1.25,0.0,0.0,,-0.24638507103316912,0.3552261952865299,0.48825550163770703,0.0,0.0,-0.9426284137947676,0.4498582717284294,27500,500,5.646821097637922e-05
6,1.5,0.0,0.0,,-0.18553505153482297,0.37803875566588835,0.6237955816770913,0.0,0.0,-0.9264910126399641,0.5554209095703182,27000,500,3.5043295500858385e-05
7,1.75,0.0,0.0,,-0.24564486554396905,0.3892523478372559,0.5282847266699295,0.0,0.0,-1.0085794673049906,0.5172897362170524,26500,500,6.739227309748852e-05
8,2.0,0.0,0.0,,-0.394630043764254,0.38752271173540764,0.3090096733045006,0.0,0.0,-1.154174558765653,0.364914471237145,26000,500,0.00019217805708315883
9,2.25,0.0,0.0,,-0.5108328547891869,0.3971056916868688,0.1989034414627829,0.0,0.0,-1.2891600104954497,0.26749430091707593,25500,500,0.0003426014728897808
10,2.5,0.0,0.0,,-0.5882490224675535,0.41091217153693055,0.15289329474800692,0.0,0.0,-1.3936368786799374,0.21713883374483034,25000,500,0.00048199913282886975
11,2.75,0.0,0.0,,-0.646175325487456,0.42453756441532214,0.1286252970228574,0.0,0.0,-1.4782689517414873,0.18591830076657534,24500,500,0.0006092481369254221
12,3.0,0.0,0.0,,-0.7510829509231574,0.4372386454049595,0.08645582017820531,0.0,0.0,-1.608070695916878,0.10590479407056319,24000,500,0.000860944788832807
13,3.25,0.0,0.0,,-0.7575626640325867,0.45782079476210596,0.0986112404204637,0.0,0.0,-1.6548914217663144,0.13976609370114101,23500,500,0.0008983596895607571
14,3.5,0.0,0.0,,-0.8239137525738578,0.4747711470589634,0.08328886684032213,0.0,0.0,-1.7544652008094261,0.10663769566171044,23000,500,0.0010875903504012907
15,3.75,0.0,0.0,,-0.855819215089605,0.484806651641072,0.07812838824703411,0.0,0.0,-1.806040252306106,0.09440182212689607,22500,500,0.001233173707294255
16,4.0,0.0,0.0,,-0.8526810394178209,0.48566738734795634,0.07975499239099991,0.0,0.0,-1.8045891186198153,0.09922703978417347,22000,500,0.0012861802135921696
