h,h_years,beta_price,se_price,p_price,gamma_vintage,se_vintage,p_vintage,ci95_beta_lo,ci95_beta_hi,ci95_gamma_lo,ci95_gamma_hi,n_obs,n_clusters,r2_within
0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,125414,3317,
1,0.25,0.6624493434705749,97136.17217611434,0.9999945589990824,0.01358305828174931,0.013199565390529265,0.30353009085062066,-190386.23501584062,190387.55991452758,-0.012288089883688048,0.03945420644718667,120245,3296,1.5510047905675783e-05
2,0.5,1.144514065293869,396111.30789386254,0.9999976947878825,0.015878621044133616,0.017618470058208845,0.3675222582534754,-776377.0189579054,776379.3079860358,-0.01865358026995572,0.05041082235822295,116466,3285,2.239308734119927e-05
3,0.75,1.805533332685305,268351.04278482083,0.9999946320425892,0.014004791362218544,0.02438482859651519,0.5657881257213844,-525966.2383249162,525969.8493915815,-0.033789472686951226,0.06179905541138831,112999,3269,1.5562810206315447e-05
4,1.0,1.3891057446562844,239692.17731233482,0.9999953763230446,0.017554852323948923,0.03078346911427057,0.5685355406469998,-469795.2784264316,469798.0566379209,-0.04278074714002139,0.07789045178791924,110118,3192,2.1575468176715518e-05
5,1.25,0.9472606798375108,374452.9161366057,0.9999979817353926,0.0123831804610771,0.026377796140235825,0.638776942597608,-733926.7683670674,733928.662888427,-0.039317299973785115,0.06408366089593931,106634,3171,1.3307771195458784e-05
6,1.5,0.134059026697377,300231.24819270056,0.9999996437573916,0.014445202199236123,0.02660453657289143,0.5871955709996612,-588453.1123986663,588453.3805167198,-0.037699689483631074,0.06659009388210332,103488,3160,1.8872812261871985e-05
7,1.75,0.9794440913265532,120459.84608120205,0.99999351301463,0.017845396094007572,0.03181683636837505,0.5749199292608713,-236100.3188750647,236102.27776324734,-0.04451560318800752,0.08020639537602267,100522,3149,2.5504902036899146e-05
8,2.0,-0.8597798038254175,83425.86751871581,0.9999917777565817,0.024597733338610355,0.03599794757417275,0.49446423931261085,-163515.56011648683,163513.84055687915,-0.04595824390676824,0.09515371058398896,97820,2997,4.272405972216564e-05
9,2.25,-8.964409588575007,417807.47308615834,0.9999828821549577,0.01924275510203504,0.034650943750349224,0.5787097561299609,-818911.611658459,818893.6828392817,-0.04867309464864943,0.0871586048527195,94734,2979,2.73463467442836e-05
10,2.5,1.0548839353853743,1839131.8938603522,0.9999995423904314,0.01433691303570647,0.032789699950624585,0.6619705005955396,-3604697.457082355,3604699.566850226,-0.04993089886751771,0.07860472493893066,91824,2954,1.539894903168637e-05
11,2.75,29.820124344125023,2026686.0725676254,0.9999882611338995,0.025918835397249953,0.03737072746986871,0.48801300774404544,-3972274.8821082017,3972334.5223568897,-0.047327790443692716,0.09916546123819263,89075,2945,4.3881995083205894e-05
12,3.0,-0.780367936142132,31759419.714451846,0.9999999803967365,0.03133450956493229,0.044423139503763906,0.48064169445780414,-62248463.42069355,62248461.85995768,-0.05573484386244497,0.11840386299230955,86545,2818,5.245961394495513e-05
13,3.25,-2.178015881224879,45659246.53985531,0.9999999619430796,0.02084588978290347,0.04102322113007654,0.6113891505549973,-89492125.39613229,89492121.04010051,-0.059559623632046546,0.10125140319785349,83668,2805,2.4600605553870558e-05
14,3.5,16.910143287622333,65105346.11509946,0.9999997927799198,0.025935471202648244,0.0410269002275897,0.5273355529478945,-127606461.47545165,127606495.29573822,-0.05447725324342757,0.10634819564872407,80984,2795,3.908755614190351e-05
15,3.75,35.307028118122226,65392416.52228386,0.9999995692403588,0.03674819009563924,0.04771386953682543,0.44125916169253465,-128169101.07664825,128169171.69070448,-0.0567709941965386,0.13026737438781708,78462,2797,6.897786785886595e-05
16,4.0,23.645180967740416,102020029.11878514,0.9999998150913886,0.045878332095488916,0.055401621043805756,0.407684344828107,-199959233.4276379,199959280.71799985,-0.06270884515037037,0.1544655093413482,76071,2707,9.49720037276558e-05
17,4.25,-3.4770783721995486,28695541.052497663,0.9999999033282198,0.041563153471488715,0.04820572155088826,0.38865235193042647,-56243263.93997379,56243256.985817045,-0.05292006076825227,0.1360463677112297,73312,2688,9.55282458714457e-05
18,4.5,-3.4271808413310865,37373555.47053969,0.99999992684027,0.04556515986069889,0.04393412876605855,0.2997715591322217,-73252172.14943863,73252165.29507695,-0.040545732520775875,0.13167605224217366,70755,2677,0.00013321251269793333
19,4.75,2.2682107475326934,33312565.2687665,0.9999999456781303,0.05358615666984383,0.04704810800124247,0.2548198932727454,-65292625.65857159,65292630.194993086,-0.03862813501259141,0.14580044835227907,68305,2670,0.00018816997945669822
20,5.0,-19.772102317330994,79973236.1505911,0.9999998027550416,0.056452726196577145,0.05240802931835254,0.28150247429412206,-156747562.6272609,156747523.08305624,-0.04626701126739383,0.15917246366054813,65944,2566,0.0002022681999428455
