h,h_years,beta_price,se_price,p_price,gamma_vintage,se_vintage,p_vintage,ci95_beta_lo,ci95_beta_hi,ci95_gamma_lo,ci95_gamma_hi,n_obs,n_clusters,r2_within
0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,414385,12868,
1,0.25,-0.18859788830807026,0.12946989153390934,0.1452259061833824,-0.0009594296069708849,0.011003340404416573,0.9305183721006915,-0.4423588757145326,0.06516309909839205,-0.022525976799627367,0.0206071175856856,398774,12676,4.717542212429038e-08
2,0.5,-0.015660659735460002,0.1062247010882287,0.8827953523861203,0.0029732041728171453,0.012450653854648412,0.811265315038282,-0.22386107386838824,0.19253975439746826,-0.02143007738229374,0.027376485727928033,385288,12550,4.550513791334865e-07
3,0.75,-0.18519437831291188,0.10671377230092931,0.08268925377848367,-0.010656817996758348,0.016318635362407363,0.5137387436345835,-0.39435337202273335,0.023964615396909555,-0.04264134330707678,0.021327707313560082,372349,12451,5.076124416580896e-06
4,1.0,0.016442162650735958,0.05247379428125672,0.7540274256300383,-0.010703092770921671,0.021415258739245213,0.6172333496586673,-0.08640647414052721,0.11929079944199913,-0.052676999899842286,0.031270814357998944,360200,12083,4.680556963010396e-06
5,1.25,-0.075053673375307,0.07629412555808086,0.3252627013163466,-0.007905252471362744,0.018872118645937696,0.6753075129022432,-0.22459015946914548,0.0744828127185315,-0.04489460501740063,0.029084100074675143,347777,11951,3.069578488834601e-06
6,1.5,-0.06873365415229186,0.0878183377071646,0.43383069405483754,0.00023318234346165643,0.018443441379113624,0.9899127441105076,-0.24085759605833446,0.10339028775375074,-0.03591596275960105,0.03638232744652436,335899,11860,5.024448079815613e-09
7,1.75,-0.08934417086704141,0.1021357148797911,0.38172272907089955,-0.006964066837876804,0.02222373483204911,0.7540114534722562,-0.28953017203143194,0.11084183029734915,-0.05052258710869306,0.03659445343293945,324299,11760,2.1299009255182355e-06
8,2.0,-0.09498021046916677,0.10469278469452441,0.3643056879954162,-0.00484712617047553,0.02631814325008415,0.8538800127338932,-0.3001780684704346,0.11021764753210106,-0.05643068694064046,0.0467364345996894,313100,11286,9.083275931409673e-07
9,2.25,-0.06748017843961354,0.09874144216460255,0.4943666143700757,-0.001723792866076221,0.02484404936084638,0.9446847867687843,-0.26101340508223453,0.12605304820300745,-0.050418129613335125,0.046970543881182686,301799,11100,1.2336748544949927e-07
10,2.5,-0.05973846250317682,0.08889128810938267,0.501572684382775,0.006032664999785129,0.023942635232117444,0.8010741709530849,-0.23396538719756685,0.1144884621912132,-0.04089490005516506,0.05296023005473532,290866,10954,1.5003529129087312e-06
11,2.75,-0.08399327146975998,0.09485165878426187,0.3758946313855498,0.0034597152563218634,0.027393543480666017,0.8994993858833658,-0.2699025226869132,0.10191597974739329,-0.05023162996578353,0.05715106047842725,280249,10807,4.3572061259045114e-07
12,3.0,-0.09075250932437669,0.10008178241009519,0.36454226738837614,0.0035097651019761794,0.033751141575167294,0.9171796649069014,-0.28691280284816323,0.10540778419940987,-0.06264247238535171,0.06966200258930406,270016,10419,3.720836402321126e-07
13,3.25,-0.12529898894501076,0.10870033105097354,0.24906024706545435,-0.0051101414604522305,0.03089452720653941,0.8686276929188044,-0.3383516378049189,0.08775365991489736,-0.06566341478526946,0.05544313186436501,259622,10150,8.408265109727253e-07
14,3.5,-0.1486336692023781,0.11305571135881025,0.18864275224099764,-0.00037188851467137655,0.03127794382165233,0.9905137711984503,-0.3702228634656462,0.07295552506088998,-0.06167665840510995,0.060932881375767196,249719,10051,3.623301325639261e-08
15,3.75,-0.2009300668971345,0.13066446800037132,0.1241401460411057,-0.009796588902623766,0.03747736443182691,0.7937893570254375,-0.4570324241778623,0.05517229038359328,-0.08325222318900449,0.06365904538375697,240096,9933,2.7996531419827164e-06
16,4.0,-0.22828838884100255,0.14175509513094325,0.10733442860027465,-0.012688696686221562,0.044685902396750306,0.776452549170628,-0.5061283752976513,0.0495515976156462,-0.10027306538385217,0.07489567201140904,230740,9543,4.1374141755978755e-06
17,4.25,-0.26248770913539704,0.15390659159140457,0.0881343106480035,-0.007364432038675273,0.03822966500530352,0.8472477640706613,-0.56414462865455,0.039169210383755926,-0.08229457544907016,0.06756571137171961,221227,9378,1.7173438291440135e-06
18,4.5,-0.2766721205774505,0.16072632086391211,0.08521414650238095,0.0018100678805074693,0.03514679704282363,0.9589280363010562,-0.5916957094707183,0.03835146831581726,-0.06707765432342684,0.07069779008444178,212076,9251,2.0116348353749203e-07
19,4.75,-0.24025301764324672,0.13911937554372442,0.08420931889144041,0.007677272902519723,0.037224190872421535,0.8366047603663576,-0.5129269937089466,0.032420958422453156,-0.06528214120742648,0.08063668701246593,203174,9158,2.0920973240468044e-06
20,5.0,-0.17022891954212424,0.14196114953488814,0.23051253222913434,0.016358118400922973,0.04171929737588293,0.6949942118840686,-0.448472772630505,0.10801493354625649,-0.06541170445580757,0.0981279412576535,194438,8738,8.761407731427973e-06
