h,h_years,beta_price,se_price,p_price,gamma_vintage,se_vintage,p_vintage,ci95_beta_lo,ci95_beta_hi,ci95_gamma_lo,ci95_gamma_hi,n_obs,n_clusters,r2_within
0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,414385,12868,
1,0.25,-0.03589539561659665,0.04691516593482786,0.44421860288423165,0.003018949577127958,0.005637586822251705,0.5923108756952811,-0.12784912084885927,0.05605832961566596,-0.008030720594485384,0.0140686197487413,398774,12676,1.294821166397675e-06
2,0.5,-0.019142129577403983,0.06411121428622409,0.7652678133603512,0.0008638776585931305,0.006803266167177304,0.8989583881018033,-0.1448001095784032,0.10651585042359522,-0.012470524029074385,0.014198279346260646,385288,12550,1.1534352251096891e-07
3,0.75,-0.08718128656810374,0.06628926050915143,0.18847882220932216,0.001168574711448861,0.009623546506988446,0.903353447919166,-0.21710823716604055,0.042745664029833055,-0.017693576442248494,0.020030725865146214,372349,12451,1.8751618546808402e-07
4,1.0,0.005767283083274519,0.039446127079860165,0.8837607555229927,0.0021653351682200937,0.012891369273255116,0.8666114082095454,-0.0715471259932514,0.08308169215980045,-0.02310174860735993,0.02743241894380012,360200,12083,5.467203557651956e-07
5,1.25,0.016659926028936275,0.04461932858385594,0.7088729142250352,0.0005460642234074342,0.010990677504935695,0.9603747905260013,-0.07079395799542137,0.10411381005329393,-0.020995663686266527,0.022087792133081395,347777,11951,4.317271051768046e-08
6,1.5,0.013311750050426528,0.05218342401346054,0.798653860866517,7.734850860286339e-05,0.01076874122800099,0.9942692142177979,-0.08896776101595613,0.11559126111680917,-0.021029384298279077,0.021184081315484802,335899,11860,1.140785022002433e-09
7,1.75,0.010104297084890506,0.05943325477140228,0.8650045427477301,-0.0005879007043096064,0.012918599737775292,0.963703105324931,-0.10638488226705796,0.12659347643683896,-0.025908356190349178,0.024732554781729966,324299,11760,4.4766204632118445e-08
8,2.0,-0.0019634724837395753,0.06047719873665894,0.9741007435395856,0.0016262417821647783,0.015195638659941491,0.9147747789105551,-0.1204987820075911,0.11657183704011195,-0.028157209991320546,0.031409693555650105,313100,11286,2.918402329799008e-07
9,2.25,-0.01854566313389615,0.053751519499578126,0.7300814830473243,0.0007462929196272887,0.01415955209760237,0.957967131275851,-0.12389864135306927,0.08680731508527698,-0.027006429191673353,0.028499015030927933,301799,11100,6.565959453919135e-08
10,2.5,-0.03405713130872831,0.047326950317105806,0.4717781049952666,0.0016855926581845475,0.01393810265867674,0.9037454077430227,-0.1268179539302557,0.05870369131279907,-0.025633088552821863,0.02900427386919096,290866,10954,3.3727393411453477e-07
11,2.75,-0.04379363967186244,0.0501646261185526,0.382683333593586,0.005286128108002681,0.016290239145577323,0.7455683355564513,-0.14211630686422555,0.05452902752050066,-0.02664274061732887,0.037214996833334235,280249,10807,2.810196552460731e-06
12,3.0,-0.05057055000677637,0.05367885515660192,0.3461661450805693,0.005490222233156942,0.020389052174893216,0.7877249033126832,-0.15578110611371615,0.0546400061001634,-0.03447232002963376,0.045452764495947644,270016,10419,2.4400235829613592e-06
13,3.25,-0.07708361711963875,0.057115514511217026,0.17717151194055983,-0.0005875417373275431,0.018256410106138876,0.9743269342693874,-0.18903002556162413,0.034862791322346626,-0.03637010554535974,0.03519502207070466,259622,10150,5.42037597028866e-08
14,3.5,-0.09477179841451124,0.06003843115364826,0.11447792137572449,-0.0002779520625008632,0.01842927754585699,0.9879669870975292,-0.2124471234756618,0.022903526646639347,-0.03639933605238056,0.035843431927378835,249719,10051,4.294091426881863e-08
15,3.75,-0.1201383195252247,0.07038516060375521,0.08787747467736702,0.0006121025368995524,0.02199138714936721,0.9777953155185892,-0.25809323430858494,0.017816595258135517,-0.042491016275860174,0.043715221349659286,240096,9933,8.137129725582781e-08
16,4.0,-0.13375215576573993,0.07756604659889403,0.08467440513992695,0.0019201309603575256,0.02661048030256809,0.9424785211238298,-0.28578160709957223,0.018277295568092378,-0.05023641043267593,0.05407667235339099,230740,9543,3.173303368964042e-07
17,4.25,-0.1461144639747302,0.0840746218642213,0.08225879341501949,0.004169737730351596,0.02248488552480542,0.8528830451668703,-0.3109007228286039,0.018671794879143527,-0.039900637898267026,0.04824011335897022,221227,9378,1.5556278780692878e-06
18,4.5,-0.1549132994073807,0.0879584361527301,0.07823585846908473,0.008172627597850653,0.020562513957629616,0.6910427983569791,-0.32731183426673166,0.017485235451970282,-0.032129899759103395,0.0484751549548047,212076,9251,6.65583494230404e-06
19,4.75,-0.11611200818595976,0.07538106088448138,0.1235135228883438,0.016597357790084276,0.022252858815815756,0.4557754659058585,-0.26385888751954323,0.03163487114762373,-0.027018245488914606,0.06021296106908316,203174,9158,2.6973526002671555e-05
20,5.0,-0.10157452156680973,0.0793040905214889,0.20028975950826225,0.02385060267925953,0.024980396711952558,0.33971903324966535,-0.25701053898892795,0.053861495855308514,-0.02511097487616748,0.07281218023468654,194438,8738,5.2453630859483624e-05
