h,h_years,beta_price,se_price,p_price,gamma_vintage,se_vintage,p_vintage,ci95_beta_lo,ci95_beta_hi,ci95_gamma_lo,ci95_gamma_hi,n_obs,n_clusters,r2_within
0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,414385,12868,
1,0.25,-0.03657784457716499,0.04699133417887348,0.4363504021442314,2.6362522574816098e-05,5.3629558211870666e-05,0.623033968736455,-0.12868085956775702,0.055525170413427034,-7.87514115204504e-05,0.0001314764566700826,398774,12676,4.1517965576609583e-07
2,0.5,-0.02010928624372521,0.06434003374032031,0.7546300229007004,-2.1576604747496298e-06,6.473073247680343e-05,0.9734096795619023,-0.146215752374753,0.10599717988730259,-0.00012902989612928434,0.0001247145751797851,385288,12550,3.1587189530668525e-09
3,0.75,-0.08870440920099436,0.06620816294189272,0.18034115293952988,-1.2074441683387305e-05,9.550617188901657e-05,0.8993969428364196,-0.2184724085671041,0.04106359016511536,-0.0001992665385858598,0.00017511765521908518,372349,12451,8.190056011159186e-08
4,1.0,0.005099529136472679,0.0391396560784083,0.8963386886479037,1.1176250121806499e-05,0.00013691317715943145,0.934942136942489,-0.0716141967772076,0.08181325505015294,-0.0002571735771106791,0.00027952607735429213,360200,12083,5.4230102963792604e-08
5,1.25,0.01651398518379127,0.04466984289713314,0.7116201852615962,8.204139996946447e-07,0.0001107740294365514,0.9940908894601308,-0.07103890689458968,0.10406687726217222,-0.0002162966836959461,0.00021793751169533538,347777,11951,6.260280072112323e-10
6,1.5,0.01300044626901699,0.052435334924735226,0.8041905926670578,-8.388417496984236e-06,0.00010433414815910511,0.9359208495853863,-0.08977281018346406,0.11577370272149803,-0.00021288334788883024,0.00019610651289486176,335899,11860,4.1760801150481086e-08
7,1.75,0.009103319640333911,0.059845766094772754,0.8791004124503219,-3.418713456356514e-05,0.00012382280721183947,0.7824782371488819,-0.10819438190542069,0.1264010211860885,-0.0002768798366987705,0.00020850556757164018,324299,11760,5.811576690994968e-07
8,2.0,-0.003221424659250772,0.061081205171043734,0.957939976705894,-1.2086998744391955e-05,0.00014663172189975502,0.934305451353673,-0.12294058679449649,0.11649773747599496,-0.0002994851736679118,0.0002753111761791279,313100,11286,6.001068431071843e-08
9,2.25,-0.01909529267213523,0.054566744624722475,0.7263875328984163,-4.886378496561571e-06,0.0001295982966812674,0.9699243382491538,-0.12604611213659128,0.08785552679232081,-0.00025889903999184565,0.0002491262829987225,301799,11100,1.1601392291282764e-08
10,2.5,-0.03430396515128524,0.04818817565583175,0.4765572482764434,1.6753175315512386e-05,0.00012475269411454858,0.8931748656821101,-0.12875278943671548,0.06014485913414498,-0.00022776210514900285,0.0002612684557800276,290866,10954,1.3040416213527806e-07
11,2.75,-0.0451965038091175,0.0511108933690493,0.37656303465465024,3.5343378758507634e-05,0.00014486937423878118,0.807260837720556,-0.14537385481245413,0.05498084719421913,-0.00024860059474950347,0.00031928735226651876,280249,10807,4.788488716656047e-07
12,3.0,-0.051944662749609335,0.05471310986946918,0.3424388963839845,4.067969903165247e-05,0.00018504700404063616,0.8260044266059157,-0.15918235809376893,0.05529303259455026,-0.0003220124288879944,0.0004033718269512993,270016,10419,4.919880768339269e-07
13,3.25,-0.07716804737019795,0.05839330849097639,0.18635712934765514,-1.0313316384038808e-05,0.000157535629220651,0.9478038165395308,-0.19161893201251168,0.037282837272115774,-0.0003190831496565148,0.0002984565168884371,259622,10150,5.876195963150366e-08
14,3.5,-0.0946561320333225,0.06166186500165164,0.12479471598745417,-1.2246547081228362e-06,0.00015498811202783387,0.9936956544857112,-0.21551338743655973,0.026201123369914717,-0.0003050013542826772,0.0003025520448664316,249719,10051,3.6425839344822464e-08
15,3.75,-0.12021927566400127,0.07276732787399495,0.09854473175831094,6.83768536737603e-06,0.0001844779330782519,0.9704338771165699,-0.2628432382970314,0.022404686969028823,-0.0003547390634659977,0.00036841443420074975,240096,9933,6.557477327806538e-08
16,4.0,-0.13195620085220408,0.08079996887838255,0.10247634912384578,5.8939774605200504e-05,0.00022970196492438523,0.7974989874063503,-0.2903241398538339,0.026411738149425712,-0.00039127607664659453,0.0005091556258569955,230740,9543,9.340357253195819e-07
17,4.25,-0.1446284219928796,0.08755222676565677,0.09858632779431563,7.667722995014672e-05,0.00019252228164129642,0.6904349530389013,-0.31623078645356684,0.026973942467807682,-0.0003006664420667943,0.0004540209019670877,221227,9378,1.934006254922238e-06
18,4.5,-0.15536202979981595,0.091291551270022,0.08882222295344055,9.94915661274853e-05,0.00017161685479075652,0.5621103297366699,-0.3342934702890591,0.023569410689427167,-0.00023687746926239744,0.0004358606015173681,212076,9251,3.7510921842009992e-06
19,4.75,-0.1202899662571115,0.0785186284214816,0.12555877903573143,0.00014392760249089508,0.0001847967613270653,0.4360925260719418,-0.27418647796321544,0.03360654544899244,-0.0002182740497101529,0.000506129254691943,203174,9158,7.6212662857289e-06
20,5.0,-0.10839568242589252,0.08265635846092215,0.1897565727661688,0.0001941695152208092,0.00021390622998506922,0.3640449049091472,-0.27040214500929993,0.05361078015751487,-0.00022508669554992649,0.0006134257259915449,194438,8738,1.2642217048219884e-05
